From,To,Length(m),Azimuth(deg),Clino(deg)
5@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,4@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.46,243.52,-21.00
5@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,6@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.10,36.52,6.00
7@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,6@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.70,186.52,8.00
8@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,7@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.57,207.52,-14.00
9@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.59,177.52,-27.00
10@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,9@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.59,170.52,24.00
11@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,10@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.16,178.52,14.00
11@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,12@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.53,35.52,-27.00
13@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,12@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.62,206.52,22.00
14@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,13@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,21.78,151.52,27.00
15@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,14@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.30,245.52,15.00
16@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,15@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.83,242.52,-13.00
17@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,16@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.95,216.52,23.00
18@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,17@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.60,157.52,-24.00
19@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,14@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.95,154.52,26.00
20@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,19@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.65,167.52,16.00
20@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,21@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,25.29,326.52,-24.00
21@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,22@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,15.95,335.52,-18.00
23@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,22@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.56,216.52,-1.00
23@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,24@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.14,201.52,86.00
25@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,24@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.21,293.52,-10.00
26@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,25@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,18.82,194.52,21.00
26@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,27@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.46,34.52,-19.00
28@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,27@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.13,211.52,12.00
28@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,29@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.34,48.52,-5.00
30@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,29@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.61,260.52,8.00
30@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,31@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.44,322.52,-12.00
32@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,31@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.34,244.52,10.00
32@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,33@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.83,26.52,-10.00
34@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,33@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.39,249.52,-9.00
34@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,35@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.46,74.52,-19.00
36@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,35@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.40,146.52,20.00
36@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,37@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.14,288.52,-49.00
37@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,38@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.59,320.52,-33.00
39@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,38@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.43,223.52,-2.00
39@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,40@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.15,63.52,-11.00
40@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,41@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.84,10.52,2.00
41@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,42@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.17,153.52,-66.00
43@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,42@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.75,244.52,2.00
43@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,44@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.40,335.52,-22.00
50@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,1@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.62,77.52,25.00
50@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,51@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,13.39,278.52,-24.00
51@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,52@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.11,306.52,-23.00
52@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,53@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.61,152.52,19.00
53@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,54@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.45,344.52,-26.00
54@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,55@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.39,255.52,-8.00
55@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,56@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,14.39,173.52,31.00
56@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,57@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.82,130.52,12.00
57@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,58@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.48,197.52,22.00
58@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,59@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.99,224.52,12.00
59@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,60@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.90,209.52,36.00
60@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,61@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.77,251.52,11.00
61@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,62@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.23,298.52,-17.00
62@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,63@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.18,216.52,-7.00
63@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,64@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.96,206.52,6.00
64@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,65@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.50,244.52,3.00
65@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,66@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,1.48,324.52,-31.00
66@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,67@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.17,299.52,6.00
67@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,68@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.66,300.52,-5.00
68@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,69@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.59,310.52,-18.00
69@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,70@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.05,246.52,12.00
70@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,71@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.38,291.52,-2.00
71@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,72@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.14,279.52,-10.00
73@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,72@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.66,112.52,5.00
73@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,74@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.74,270.52,-29.00
75@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,74@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.44,91.52,34.00
75@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,76@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.71,231.52,-22.00
76@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,77@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.80,205.52,10.00
77@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,78@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.24,204.52,11.00
78@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,79@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.97,210.52,-13.00
79@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,80@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,13.50,211.52,-25.00
80@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,81@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.68,201.52,-1.00
81@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,82@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.63,182.52,2.00
82@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,83@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.21,210.52,-19.00
83@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,84@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.50,192.52,-7.00
84@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,85@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.43,269.52,-20.00
85@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,86@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.15,275.52,-26.00
86@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,87@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.56,292.52,22.00
87@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,88@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.66,231.52,3.00
88@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,89@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,14.52,230.52,39.00
89@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,-,25.00,15.52,90.00
17@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,90@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.75,337.52,25.00
90@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,91@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,18.13,337.52,45.00
91@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,92@b.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.00,312.52,44.00
101@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,23@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.36,80.52,16.00
101@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,102@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.30,38.52,-4.00
102@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,103@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.10,8.52,-34.00
103@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,104@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.00,350.52,-32.00
104@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,105@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.23,1.52,-24.00
105@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,106@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.65,352.52,-22.00
17@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,107@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.30,129.52,21.00
107@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,108@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.30,132.52,-5.00
108@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,109@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.90,96.52,41.00
109@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,110@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.20,123.52,33.00
110@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,111@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.30,138.52,-33.00
110@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,112@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.40,115.52,32.00
112@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,113@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.80,147.52,3.00
113@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,114@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.00,152.52,-32.00
114@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,115@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.10,154.52,4.00
115@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,116@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.70,147.52,-51.00
112@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,117@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,1.50,332.52,47.00
117@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,118@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.20,48.52,10.00
118@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,119@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.80,15.52,-2.00
119@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,120@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.18,17.52,60.00
120@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,121@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.50,28.52,-7.00
121@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,122@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.30,73.52,9.00
122@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,123@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.30,15.52,0.00
122@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,124@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.30,152.52,40.00
123@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,125@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.40,249.52,-34.00
125@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,126@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.00,322.52,-42.00
117@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,127@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.80,306.52,-26.00
127@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,17@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.30,291.52,-37.00
15@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,128@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.94,136.52,31.00
15@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,129@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.79,178.52,66.00
16@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,130@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,1.50,140.52,-21.00
130@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,131@c.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.20,178.52,34.00
53@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,150@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.60,190.52,10.00
150@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,151@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,15.00,165.52,15.00
151@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,152@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.30,195.52,20.00
152@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,153@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.08,202.52,28.00
153@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,154@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.89,218.52,32.00
154@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,155@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.25,203.52,21.00
155@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,156@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.13,127.52,25.00
55@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,157@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,19.41,12.52,-22.00
157@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,158@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.08,20.52,-12.00
158@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,159@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.16,338.52,-13.00
159@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,160@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.98,49.52,0.00
160@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,161@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.02,343.52,42.00
161@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,162@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,5.53,2.52,-14.00
162@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,163@d.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.68,335.52,-21.00
21@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,200@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.41,201.52,10.00
200@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,201@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.13,198.52,8.00
201@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,202@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.49,284.52,-37.00
202@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,203@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.88,358.52,-12.00
203@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,204@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,7.43,345.52,-19.00
204@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,205@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.81,340.52,-24.00
202@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,206@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.94,266.52,-33.00
206@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,207@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,17.37,263.52,-17.00
207@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,208@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,23.74,177.52,18.00
208@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,209@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,0.46,92.52,-11.00
209@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,210@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.70,128.52,24.00
210@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,211@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,14.87,115.52,24.00
211@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,212@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.83,112.52,25.00
212@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,213@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.43,130.52,29.00
211@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,214@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.12,223.52,-6.00
214@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,215@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.79,202.52,21.00
215@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,163@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,1.42,225.52,-59.00
66@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,216@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,11.54,64.52,0.00
216@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,217@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,2.96,332.52,-17.00
217@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,218@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,3.37,316.52,1.00
218@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,219@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.95,348.52,-19.00
219@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,220@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.70,46.52,-27.00
220@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,221@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.06,346.52,-17.00
221@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,222@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.74,338.52,-14.00
222@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,223@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,9.66,42.52,-30.00
223@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,224@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,14.41,31.52,-25.00
224@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,225@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,6.31,131.52,31.00
225@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,226@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,16.29,161.52,20.00
226@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,55@e.Anglais2008.CuevaPirates.106.UltimaPatagonia,1.04,77.52,-21.00
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,211@PiratesJonction.CuevaPirates.106.UltimaPatagonia,9.02,271.70,-18.30
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,1.32,29.70,31.20
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,1.97,226.60,83.80
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,2.06,209.50,59.40
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,3.30,214.20,38.50
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,3.74,216.70,17.60
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,4.37,227.40,-2.30
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,3.13,254.90,16.80
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,2.65,274.30,16.90
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,1.96,305.80,28.40
0@PiratesJonction.CuevaPirates.106.UltimaPatagonia,1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,5.54,144.20,40.90
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,1.19,28.80,-23.00
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,0.39,6.90,-6.80
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,0.40,240.20,81.00
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,1.18,255.20,21.10
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,2.03,249.90,-3.30
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,3.23,235.70,-9.50
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,3.90,228.10,-18.00
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,2.83,223.30,-26.80
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,2.76,212.20,-18.70
1@PiratesJonction.CuevaPirates.106.UltimaPatagonia,-,1.96,202.10,-34.90
